0	1
1936	1936
yılındayız	yıl
yılında	yıl
adeta	adeta
kendimden	kendi
geçmiş	geç
bir	bir
halde	hâl
nasıl	nasıl
derse	der
desin	de
uğraştığı	uğraş
sanatın	sanat
kendisine	kendi
emanet	emanet
olduğunu	ol
söyleyen	söyle
üstadları	üstad
vardı	var
var	var
ahmed	ahmed
rasim	rasim
büyükada'ya	büyükada
gidip	git
birkaç	birkaç
gün	gün
kalmayı	kal
tasarlamıştı	tasarla
tasarlamış	tasarla
rüzgâr	rüzgâr
yine	yine
güçlü	güçlü
esiyordu	es
esiyor	es
öte	öte
yandan	yan
sarı	sarı
lacivertliler	lacivertli
yarın	yarın
samandıra	samandıra
tesisleri'nde	tesis
türk	türk
telekom	telekom
lig	lig
takımlarından	takım
kocaelispor'la	kocaelispor
saat	saat
19.30'da	19.30
bir	bir
hazırlık	hazırlık
maçı	maç
yapacak	yap
peki	peki
kim	kim
bu	bu
küçük	küçük
ve	ve
basit	basit
sebepleri	sebep
devleştirerek	devleş
aramıza	ara
sokup	sok
meşrutiyetin	meşrutiyet
ilanından	ilan
önceki	önceki
siyasi	siyasi
faaliyetlere	faaliyet
katıldı	kat
öger	öger
prodüksiyon	prodüksiyon
yalnız	yalnız
neden	neden
yaşamak	yaşa
ıstırap	ıstırap
verici	verici
bir	bir
şey	şey
1978	1978
yılında	yıl
unesco	unesco
yürütme	yürü
kurulu'na	kurul
türkiye'yi	türkiye
temsil	temsil
edecek	et
üye	üye
seçilmiştim	seç
seçilmiş	seç
yatağan	yatağan
milas	milas
ve	ve
akılcılık	akılcılık
...	...
yeni	yeni
emekli	emekli
olmuş	ol
general	general
bir	bir
dostum	dost
taşındığı	taşı
95	95
metrekarelik	metrekarelik
evinde	ev
aldığı	al
plaketleri	plaket
asacak	as
duvar	duvar
bulamadığı	bula
gibi	gibi
bunları	bu
yerleştirdiği	yerleş
sandıkları	sandık
koyacak	koy
yer	yer
olmadığından	ol
yakındı	yak
ne	ne
yapayım	yap
dedi	de
bu	bu
işe	iş
bir	bir
çözüm	çözüm
bulacağınızı	bul
ümit	ümit
ediyor	et
saygılar	saygı
sunuyorum	sun
1966	1966
yılında	yıl
bafa	bafa
gölünün	göl
kuzeyinde	kuzey
yer	yer
alan	al
kayalık	kayalık
beşparmak	beşparmak
dağlarına	dağ
tırmanıyorduk	tırman
tırmanıyor	tırman
ama	ama
beni	ben
basketbol	basketbol
takımına	takım
almadılar	al
bundan	bu
sonra	sonra
çağdaş	çağdaş
olimpiyatlar	olimpiyat
adıyla	ad
anıldı	an
müjdeler	müjde
var	var
yurdumun	yurt
toprağına	toprak
taşına	taş
için	için
yol	yol
arkadaşlarımızı	arkadaş
titizlikle	titizlik
seçer	seç
kendilerini	kendi
iyice	iyice
sınarız	sına
savcı	savcı
petrol	petrol
tankerinin	tanker
hintli	hintli
kaptanının	kaptan
da	da
olayda	olay
bir	bir
ihmali	ihmal
bulunup	bulun
bulunmadığını	bulun
araştırıyor	araştır
kahvaltıya	kahvaltı
kadar	kadar
saat	saat
çalışırım	çalış
neden	neden
diye	diye
sordum	sor
bu	bu
korkular	korku
hayatımızın	hayat
çeşitli	çeşitli
dönemlerinde	dönem
değişiklikler	değişiklik
gösterebilir	göster
örneğin	örneğin
bu	bu
alanda	alan
mars	mars
bizi	biz
aşırı	aşırı
sahip	sahip
olmacı	olmacı
biri	biri
yaparken	yap
yapar	yap
miras	miras
konusunda	konu
engeller	engel
çıkarabilir	çık
tapınakta	tapınak
panik	panik
var	var
